BOUT_UID,EVENT,BOUT,FIGHTER_2,FIGHTER_1,CTRL_mean,CTRL against_mean,OUTCOME
6364,UFC Live: Vera vs Jones,Eric Schafer vs. Jason Brilz,Jason Brilz,Eric Schafer,-327.0,327.0,0
6363,UFC Live: Vera vs Jones,Mike Pierce vs. Julio Paulino,Julio Paulino,Mike Pierce,694.0,-694.0,1
6362,UFC Live: Vera vs Jones,Brendan Schaub vs. Chase Gormley,Chase Gormley,Brendan Schaub,3.0,-3.0,1
6361,UFC Live: Vera vs Jones,John Howard vs. Daniel Roberts,Daniel Roberts,John Howard,-6.0,6.0,1
6360,UFC Live: Vera vs Jones,Duane Ludwig vs. Darren Elkins,Darren Elkins,Duane Ludwig,-7.0,7.0,0
6359,UFC Live: Vera vs Jones,Eliot Marshall vs. Vladimir Matyushenko,Vladimir Matyushenko,Eliot Marshall,-87.0,87.0,0
6358,UFC Live: Vera vs Jones,Clay Guida vs. Shannon Gugerty,Shannon Gugerty,Clay Guida,446.0,-446.0,1
6357,UFC Live: Vera vs Jones,Alessio Sakara vs. James Irvin,James Irvin,Alessio Sakara,1.0,-1.0,1
6356,UFC Live: Vera vs Jones,Cheick Kongo vs. Paul Buentello,Paul Buentello,Cheick Kongo,507.0,-507.0,1
6355,UFC Live: Vera vs Jones,Junior Dos Santos vs. Gabriel Gonzaga,Gabriel Gonzaga,Junior Dos Santos,8.0,-8.0,1
6354,UFC Live: Vera vs Jones,Brandon Vera vs. Jon Jones,Jon Jones,Brandon Vera,-163.0,163.0,0
6353,UFC 111: St-Pierre vs Hardy,Matthew Riddle vs. Greg Soto,Greg Soto,Matthew Riddle,415.0,-415.0,1
6352,UFC 111: St-Pierre vs Hardy,Rodney Wallace vs. Jared Hamman,Jared Hamman,Rodney Wallace,-109.0,109.0,0
6351,UFC 111: St-Pierre vs Hardy,Rousimar Palhares vs. Tomasz Drwal,Tomasz Drwal,Rousimar Palhares,7.0,-7.0,1
6350,UFC 111: St-Pierre vs Hardy,Ricardo Almeida vs. Matt Brown,Matt Brown,Ricardo Almeida,410.0,-410.0,1
6349,UFC 111: St-Pierre vs Hardy,Nate Diaz vs. Rory Markham,Rory Markham,Nate Diaz,74.0,-74.0,1
6348,UFC 111: St-Pierre vs Hardy,Jim Miller vs. Mark Bocek,Mark Bocek,Jim Miller,-494.0,494.0,1
6347,UFC 111: St-Pierre vs Hardy,Ben Saunders vs. Jon Fitch,Jon Fitch,Ben Saunders,-690.0,690.0,0
6346,UFC 111: St-Pierre vs Hardy,Kurt Pellegrino vs. Fabricio Camoes,Fabricio Camoes,Kurt Pellegrino,307.0,-307.0,1
6345,UFC 111: St-Pierre vs Hardy,Frank Mir vs. Shane Carwin,Shane Carwin,Frank Mir,-150.0,150.0,0
6344,UFC 111: St-Pierre vs Hardy,Georges St-Pierre vs. Dan Hardy,Dan Hardy,Georges St-Pierre,1197.0,-1197.0,1
6343,UFC Fight Night: Florian vs Gomi,Charlie Brenneman vs. Jason High,Jason High,Charlie Brenneman,365.0,-365.0,1
6342,UFC Fight Night: Florian vs Gomi,Gerald Harris vs. Mario Miranda,Mario Miranda,Gerald Harris,-33.0,33.0,1
6341,UFC Fight Night: Florian vs Gomi,Yushin Okami vs. Lucio Linhares,Lucio Linhares,Yushin Okami,151.0,-151.0,1
6340,UFC Fight Night: Florian vs Gomi,Caol Uno vs. Gleison Tibau,Gleison Tibau,Caol Uno,-89.0,89.0,0
6339,UFC Fight Night: Florian vs Gomi,Rob Emerson vs. Nik Lentz,Nik Lentz,Rob Emerson,-514.0,514.0,0
6338,UFC Fight Night: Florian vs Gomi,Jacob Volkmann vs. Ronys Torres,Ronys Torres,Jacob Volkmann,414.0,-414.0,1
6337,UFC Fight Night: Florian vs Gomi,Andre Winner vs. Rafaello Oliveira,Rafaello Oliveira,Andre Winner,-55.0,55.0,1
6336,UFC Fight Night: Florian vs Gomi,Ross Pearson vs. Dennis Siver,Dennis Siver,Ross Pearson,-10.0,10.0,1
6335,UFC Fight Night: Florian vs Gomi,Nate Quarry vs. Jorge Rivera,Jorge Rivera,Nate Quarry,-89.0,89.0,0
6334,UFC Fight Night: Florian vs Gomi,Roy Nelson vs. Stefan Struve,Stefan Struve,Roy Nelson,8.0,-8.0,1
6333,UFC Fight Night: Florian vs Gomi,Kenny Florian vs. Takanori Gomi,Takanori Gomi,Kenny Florian,97.0,-97.0,1
6332,UFC 112: Invincible,Jon Madsen vs. Mostapha Al-Turk,Mostapha Al-Turk,Jon Madsen,6.0,-6.0,1
6331,UFC 112: Invincible,Paul Kelly vs. Matt Veach,Matt Veach,Paul Kelly,179.0,-179.0,1
6330,UFC 112: Invincible,DaMarques Johnson vs. Brad Blackburn,Brad Blackburn,DaMarques Johnson,-152.0,152.0,1
6329,UFC 112: Invincible,Nick Osipczak vs. Rick Story,Rick Story,Nick Osipczak,-448.0,448.0,0
6328,UFC 112: Invincible,Alexander Gustafsson vs. Phil Davis,Phil Davis,Alexander Gustafsson,-196.0,196.0,0
6327,UFC 112: Invincible,Kendall Grove vs. Mark Munoz,Mark Munoz,Kendall Grove,-115.0,115.0,0
6326,UFC 112: Invincible,Terry Etim vs. Rafael Dos Anjos,Rafael Dos Anjos,Terry Etim,-248.0,248.0,0
6325,UFC 112: Invincible,Matt Hughes vs. Renzo Gracie,Renzo Gracie,Matt Hughes,104.0,-104.0,1
6324,UFC 112: Invincible,BJ Penn vs. Frankie Edgar,Frankie Edgar,BJ Penn,-5.0,5.0,0
6323,UFC 112: Invincible,Anderson Silva vs. Demian Maia,Demian Maia,Anderson Silva,78.0,-78.0,1
6322,UFC 113: Machida vs Shogun 2,Jason MacDonald vs. John Salter,John Salter,Jason MacDonald,-72.0,72.0,0
6321,UFC 113: Machida vs Shogun 2,Yoshiyuki Yoshida vs. Mike Guymon,Mike Guymon,Yoshiyuki Yoshida,-138.0,138.0,0
6320,UFC 113: Machida vs Shogun 2,Joey Beltran vs. Tim Hague,Tim Hague,Joey Beltran,-139.0,139.0,1
6319,UFC 113: Machida vs Shogun 2,TJ Grant vs. Johny Hendricks,Johny Hendricks,TJ Grant,-387.0,387.0,0
6318,UFC 113: Machida vs Shogun 2,Marcus Davis vs. Jonathan Goulet,Jonathan Goulet,Marcus Davis,-165.0,165.0,1
6317,UFC 113: Machida vs Shogun 2,Tom Lawlor vs. Joe Doerksen,Joe Doerksen,Tom Lawlor,-7.0,7.0,0
6316,UFC 113: Machida vs Shogun 2,Patrick Cote vs. Alan Belcher,Alan Belcher,Patrick Cote,-48.0,48.0,0
6315,UFC 113: Machida vs Shogun 2,Kevin Ferguson vs. Matt Mitrione,Matt Mitrione,Kevin Ferguson,15.0,-15.0,0
6314,UFC 113: Machida vs Shogun 2,Sam Stout vs. Jeremy Stephens,Jeremy Stephens,Sam Stout,-24.0,24.0,0
6313,UFC 113: Machida vs Shogun 2,Josh Koscheck vs. Paul Daley,Paul Daley,Josh Koscheck,720.0,-720.0,1
6312,UFC 113: Machida vs Shogun 2,Lyoto Machida vs. Mauricio Rua,Mauricio Rua,Lyoto Machida,19.0,-19.0,0
6311,UFC 114: Rampage vs Evans,Jesse Forbes vs. Ryan Jensen,Ryan Jensen,Jesse Forbes,34.0,-34.0,0
6310,UFC 114: Rampage vs Evans,Aaron Riley vs. Joe Brammer,Joe Brammer,Aaron Riley,273.0,-273.0,1
6309,UFC 114: Rampage vs Evans,Luiz Cane vs. Cyrille Diabate,Cyrille Diabate,Luiz Cane,55.0,-55.0,0
6308,UFC 114: Rampage vs Evans,Melvin Guillard vs. Waylon Lowe,Waylon Lowe,Melvin Guillard,-85.0,85.0,1
6307,UFC 114: Rampage vs Evans,Efrain Escudero vs. Dan Lauzon,Dan Lauzon,Efrain Escudero,49.0,-49.0,1
6306,UFC 114: Rampage vs Evans,Amir Sadollah vs. Dong Hyun Kim,Dong Hyun Kim,Amir Sadollah,-734.0,734.0,0
6305,UFC 114: Rampage vs Evans,Diego Sanchez vs. John Hathaway,John Hathaway,Diego Sanchez,-109.0,109.0,0
6304,UFC 114: Rampage vs Evans,Jason Brilz vs. Rogerio Nogueira,Rogerio Nogueira,Jason Brilz,259.0,-192.0,0
6303,UFC 114: Rampage vs Evans,Todd Duffee vs. Mike Russow,Mike Russow,Todd Duffee,-2.0,2.0,0
6302,UFC 114: Rampage vs Evans,Michael Bisping vs. Dan Miller,Dan Miller,Michael Bisping,-45.0,45.0,1
6301,UFC 114: Rampage vs Evans,Quinton Jackson vs. Rashad Evans,Rashad Evans,Quinton Jackson,-406.0,406.0,0
6300,UFC 115: Liddell vs Franklin,Mike Pyle vs. Jesse Lennox,Jesse Lennox,Mike Pyle,33.0,-33.0,1
6299,UFC 115: Liddell vs Franklin,Ricardo Funch vs. Claude Patrick,Claude Patrick,Ricardo Funch,-177.0,177.0,0
6298,UFC 115: Liddell vs Franklin,James Wilks vs. Peter Sobotta,Peter Sobotta,James Wilks,-289.0,289.0,1
6297,UFC 115: Liddell vs Franklin,David Loiseau vs. Mario Miranda,Mario Miranda,David Loiseau,0.0,434.0,0
6296,UFC 115: Liddell vs Franklin,Mac Danzig vs. Matt Wiman,Matt Wiman,Mac Danzig,33.0,-33.0,0
6295,UFC 115: Liddell vs Franklin,Tyson Griffin vs. Evan Dunham,Evan Dunham,Tyson Griffin,-517.0,517.0,0
6294,UFC 115: Liddell vs Franklin,Carlos Condit vs. Rory MacDonald,Rory MacDonald,Carlos Condit,19.0,-19.0,1
6293,UFC 115: Liddell vs Franklin,Ben Rothwell vs. Gilbert Yvel,Gilbert Yvel,Ben Rothwell,640.0,-640.0,1
6292,UFC 115: Liddell vs Franklin,Paulo Thiago vs. Martin Kampmann,Martin Kampmann,Paulo Thiago,-326.0,326.0,0
6291,UFC 115: Liddell vs Franklin,Mirko Filipovic vs. Pat Barry,Pat Barry,Mirko Filipovic,263.0,-263.0,1
6290,UFC 115: Liddell vs Franklin,Chuck Liddell vs. Rich Franklin,Rich Franklin,Chuck Liddell,24.0,-24.0,0
6289,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,James McSweeney vs. Travis Browne,Travis Browne,James McSweeney,-141.0,141.0,0
6288,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Chris Camozzi vs. James Hammortree,James Hammortree,Chris Camozzi,81.0,-81.0,1
